FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G,Region4G
143,29075.31773,20,0.012965079,0.018920016,0.35740038,0.453678487,0.011764706
144,29075.3233,17,0.025817212,0.02560961,0.096755745,0.059374208,0.003921569
145,29075.32883,18,0.016363947,0.023374173,0.093068733,0.062890256,0.003921569
146,29075.3344,20,0.013007105,0.018843591,0.357571685,0.453726873,0.011764706
147,29075.33994,17,0.02569376,0.025516467,0.096871706,0.059325822,0.003921569
148,29075.3455,18,0.01634556,0.023371785,0.092815728,0.06293173,0.003921569
149,29075.35107,20,0.012881026,0.018795825,0.357192178,0.453666966,0.011951447
150,29075.35661,17,0.025804079,0.025537962,0.097011385,0.059321214,0.003921569
151,29075.36218,18,0.016332427,0.023338349,0.092581172,0.063199005,0.003921569
152,29075.36774,20,0.012936186,0.018824485,0.357576956,0.453616276,0.012138189
153,29075.37328,17,0.025685881,0.025662153,0.096660869,0.059383424,0.003921569
154,29075.37885,18,0.016324547,0.023340737,0.092325532,0.06304463,0.003921569
155,29075.38438,20,0.012928306,0.018783884,0.357310774,0.453524112,0.011764706
156,29075.38995,17,0.025643854,0.025521244,0.096157495,0.05926822,0.003921569
157,29075.39552,18,0.016164322,0.023238041,0.091450559,0.063030806,0.003921569
158,29075.40106,20,0.01286264,0.018888968,0.357518975,0.453756826,0.01232493
159,29075.40659,17,0.025638601,0.02562394,0.095348408,0.059182968,0.003921569
160,29075.41216,18,0.016075017,0.023171169,0.09114221,0.063063063,0.003921569
161,29075.41773,20,0.012962452,0.018841203,0.357576956,0.453461902,0.011577965
162,29075.42326,17,0.025565055,0.025533185,0.095461733,0.059134582,0.003921569
163,29075.42883,18,0.016266761,0.023386114,0.091305608,0.062871823,0.003921569
164,29075.43437,20,0.012849507,0.018893745,0.357239616,0.453471118,0.01232493
165,29075.43994,17,0.025683254,0.025483031,0.095611954,0.059113845,0.003921569
166,29075.44547,18,0.016208975,0.023238041,0.091411027,0.062929426,0.003921569
167,29075.45104,20,0.013001852,0.018922405,0.357247523,0.453507984,0.011951447
168,29075.45658,17,0.025554549,0.025626328,0.095746363,0.058984816,0.003921569
169,29075.46214,18,0.016174829,0.023228487,0.091466371,0.062846478,0.003921569
170,29075.46771,20,0.012917799,0.018891357,0.357450453,0.453655446,0.011764706
171,29075.47325,17,0.025578188,0.02552602,0.095588235,0.059049331,0.003921569
172,29075.47882,18,0.016314041,0.0232667,0.091179106,0.062722057,0.003921569
173,29075.48435,20,0.012875773,0.018865086,0.357255429,0.45350568,0.011577965
174,29075.48992,17,0.025667494,0.025475866,0.095524984,0.058851179,0.003921569
175,29075.49549,18,0.016122296,0.023199828,0.090849673,0.062431741,0.003921569
176,29075.50102,20,0.012875773,0.018896133,0.35751634,0.453178498,0.011764706
177,29075.50656,17,0.025546669,0.025430489,0.095040059,0.058602336,0.003921569
