0,1,2,3,4,5,6,7,8
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
Time,n/a,n/a,n/a,n/a,Behavior,n/a,n/a,Status
64.3763967999965,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
64.40092159999907,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
69.02143999999761,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
69.0871167999953,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
70.3976576000005,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
70.41825279999524,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
70.94288639999927,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
70.97119999999553,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
71.08176639999449,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
71.1022976000011,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
71.60204800000042,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
71.6307071999982,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.15087359999865,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
72.19600639999658,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.29058559999615,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
72.31073279999941,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.55650559999793,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
72.58511360000074,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.68376319999993,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
72.74490879999846,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.84323839999735,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
72.86780160000175,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
72.97439999999851,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.0110591999963,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
73.10547199999542,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.14233599999547,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
73.22822399999946,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.27760639999806,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
73.33880319999903,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.43307519999891,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
73.65424639999867,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.69936639999598,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
73.84270080000162,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
73.8590719999969,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
